16.05,17:00,Dota 2. DPL-CDA Professional League,Royal Never Give Up,Sparking Arrow Gaming,П1,1.34,П2,2.94
17.05,14:00,Dota 2. DPL-CDA Professional League,CDEC Gaming,Sparking Arrow Gaming,П1,1.64,П2,2.09
17.05,17:00,Dota 2. DPL-CDA Professional League,Royal Never Give Up,Team Aster,П1,1.5,П2,2.38
15.05,17:00,Dota 2. Epic Prime League,Vp.prodigy,Team Spirit,П1,1.26,П2,3.32
15.05,20:00,Dota 2. Epic Prime League,Virtus.Pro,FlytoMoon,П1,1.47,П2,2.42
12.05,15:00,Dota 2. ESL One. Квалификация,Longinus,BAD BOYS,П1,2.14,П2,1.61
12.05,15:00,Dota 2. ESL One. Квалификация,Reality Rift,Flower Gaming,П1,1.24,П2,3.56
12.05,18:00,Dota 2. ESL One. Квалификация,CDEC Gaming,Starluck,П1,1.16,П2,4.44
12.05,18:00,Dota 2. ESL One. Квалификация,Motivade.Trust Gaming,Team CR,П1,1.79,П2,1.88
12.05,15:00,Dota 2. Hephaestus Cup,496 Gaming,LGD.International,П1,3.03,П2,1.32
13.05,09:00,Dota 2. Hephaestus Cup,Elephant,Team Adroit,П1,7.36,П2,1.05
13.05,12:00,Dota 2. Hephaestus Cup,Goodfellaz,T1 Gaming,П1,1.94,П2,1.74
13.05,15:00,Dota 2. Hephaestus Cup,Reality Rift,Team Adroit,П1,3.78,П2,1.21
12.05,21:00,Dota 2. Isolation Cup,CR4ZY,Nemiga Gaming,П1,1.8,П2,1.87
12.05,23:30,Dota 2. Isolation Cup,KVP,FlyToMoon 2.0,П1,1.62,П2,2.12
13.05,15:00,Dota 2. OGA Dota Pit,OG,HellRaisers,П1,1.57,П2,2.22
13.05,21:00,Dota 2. OGA Dota Pit,Team Secret,Virtus.Pro,П1,1.43,П2,2.57
12.05,22:00,Dota 2. PM League,FlyToMoon 2.0,Team Empire Hope,П1,1.9,П2,1.78
13.05,16:00,King of Glory. KPL,TTG X-Quest,Vici Gaming,П1,1.23,П2,3.94
13.05,18:00,King of Glory. KPL,Dynamite Gaming,QG Happy,П1,1.23,П2,3.88
14.05,16:00,King of Glory. KPL,LGD Goose,GK Gaming,П1,1.14,П2,5.26
14.05,18:00,King of Glory. KPL,YTG,AG Super Play,П1,5.83,П2,1.09
15.05,16:00,King of Glory. KPL,Rng.m,TS Gaming,П1,1.74,П2,2.02
15.05,18:00,King of Glory. KPL,RW1,Top Esports,П1,1.71,П2,1.98
16.05,13:00,King of Glory. KPL,Team WE,Hero,П1,1.28,П2,3.5
16.05,16:00,King of Glory. KPL,eStar Pro,Edgm,П1,1.28,П2,3.5
16.05,18:00,King of Glory. KPL,LGD Goose,QG Happy,П1,1.14,П2,4.75
17.05,13:00,King of Glory. KPL,Team WE,TTG X-Quest,П1,2.02,П2,1.74
17.05,16:00,King of Glory. KPL,Rng.m,Vici Gaming,П1,1.25,П2,3.44
17.05,18:00,King of Glory. KPL,eStar Pro,YTG,П1,1.55,П2,2.36
13.05,12:00,King of Glory. KPLGT,Mighty Tiger Gaming,Ghost Owl Gaming,П1,1.23,П2,3.94
13.05,03:00,League of Legends. BRCC,Havan Liberty Gaming,Team oNe eSports,П1,2.03,П2,1.68
16.05,14:00,Overwatch. OWL,Seoul Dynasty,Chengdu Hunters,П1,1.18,П2,4.15
